Description,Link,Syuzhet_Vector,Affin_Vector,Nrc_Vector,Bing_Vector,Theme
B.O.S.S. Fitness CEO talks of moving from prison to business owner.,https://news.google.com/articles/CBMidWh0dHBzOi8vd3d3LmRpc3BhdGNoLmNvbS9zdG9yeS9idXNpbmVzcy8yMDIwLzExLzAxL2ZpdG5lc3MtY2VvLWphbWVzLWd1bGxhdHRlLW1vdmVkLXByaXNvbi1idXNpbmVzcy1vd25lci82MDYzNzUyMDAyL9IBJ2h0dHBzOi8vYW1wLmRpc3BhdGNoLmNvbS9hbXAvNjA2Mzc1MjAwMg?hl=en-US&gl=US&ceid=US%3Aen,-0.15000000000000002,-1,-1,-1,Fitness
"The following is a press release submitted to SOURCE media from its business wire *service*. ***. NATICK – Fabletics last week announced a strategic, long-term ...",https://news.google.com/articles/CBMifWh0dHBzOi8vZnJhbWluZ2hhbXNvdXJjZS5jb20vaW5kZXgucGhwLzIwMjAvMTEvMDEvZmFibGV0aWNzLWh5ZHJvdy10ZWFtLXVwLXRvLWRlbGl2ZXItaW1tZXJzaXZlLWZpdG5lc3MtZXhwZXJpZW5jZS1pbi1yZXRhaWwv0gEA?hl=en-US&gl=US&ceid=US%3Aen,0.6,0,1,0,Fitness
"The holidays are right around the corner, so we're preparing for the cozier months with gear we can road test outside in cooler temps, kitchen appliances and ...",https://news.google.com/articles/CAIiEIB2bqDeZnTufHylxudifIQqEwgEKgwIACoFCAowgGgwwAUw0Q8?hl=en-US&gl=US&ceid=US%3Aen,0.8,0,1,1,Fitness
"Determined to help people succeed in their health and wellness journey, Milica Todovic has started to build her fitness empire. She has devoted much of her ...",https://news.google.com/articles/CBMicWh0dHBzOi8vbG9uZG9uZGFpbHlwb3N0LmNvbS9taWxpY2EtdG9kb3ZpYy10aHJlZS10aW1lLXdvcmxkLWNoYW1waW9uLWFuZC1zcG9ydHN3b21hbi1sYXVuY2hlcy1oZXItZml0bmVzcy1lbXBpcmUv0gEA?hl=en-US&gl=US&ceid=US%3Aen,2.9,8,4,1,Fitness
"Gyms were forced to shut down in March 2020 to try to curb the spread of Covid-19, crippling the fitness industry, which is a $32 billion market in the U.S..",https://news.google.com/articles/CAIiECVD3lnNc-23Jc4OX0qfMhkqGQgEKhAIACoHCAow2Nb3CjDivdcCMMHF0wY?hl=en-US&gl=US&ceid=US%3Aen,-0.9,0,0,-1,Fitness
"You can now, sip, stroll and get swole in Shirlington. The Village at Shirlington, which was just approved for Arlington's first permit allowing alcohol.",https://news.google.com/articles/CBMiS2h0dHBzOi8vd3d3LmFybG5vdy5jb20vMjAyMC8xMC8yOS9uZXctZml0bmVzcy1zdHVkaW8tY29taW5nLXRvLXNoaXJsaW5ndG9uL9IBAA?hl=en-US&gl=US&ceid=US%3Aen,1,2,0,0,Fitness
We have plenty of workout *content* here on T3 but this 12-minute boxing workout got us excited nevertheless. We worked with ex-heavyweight boxer Ed ...,https://news.google.com/articles/CBMidGh0dHBzOi8vd3d3LnQzLmNvbS91cy9mZWF0dXJlcy9nZXQtc3Ryb25nLWFuZC1pbXByb3ZlLWNhcmRpby1maXRuZXNzLXdpdGgtdGhpcy0xMi1taW51dGUtZm9sbG93LWFsb25nLWJveGluZy13b3Jrb3V00gF4aHR0cHM6Ly93d3cudDMuY29tL3VzL2FtcC9mZWF0dXJlcy9nZXQtc3Ryb25nLWFuZC1pbXByb3ZlLWNhcmRpby1maXRuZXNzLXdpdGgtdGhpcy0xMi1taW51dGUtZm9sbG93LWFsb25nLWJveGluZy13b3Jrb3V0?hl=en-US&gl=US&ceid=US%3Aen,1.6,3,2,2,Fitness
"Free food and discounts are up for grabs on Election Day regardless of whether you have an ""I Voted"" sticker. Here's where to get freebies and deals.",https://news.google.com/articles/CAIiEB0fWbyBadq0kvjxZw9GEVsqGQgEKhAIACoHCAowjsP7CjCSpPQCMM_b5QU?hl=en-US&gl=US&ceid=US%3Aen,0.9,1,1,1,Fitness
Long gone feel the nights of dancing the hours away in a club or bar with your friends. But a new boutique fitness studio in Tower Grove might safely provide an ...,https://news.google.com/articles/CBMiVGh0dHBzOi8vd3d3LnN0bG1hZy5jb20vaGVhbHRoL2ZpdG5lc3MveWVzLWhvbmV5LXN0dWRpby1vcGVucy10b3dlci1ncm92ZS1qZW5ueS1oaWxsL9IBAA?hl=en-US&gl=US&ceid=US%3Aen,2.7,2,2,1,Fitness
"Smiling even before the Zoom room filled, Mike Chen was excited to talk about his experiences as he patiently waited out Seoul's two-week quarantine.",https://news.google.com/articles/CBMiXmh0dHBzOi8vd3d3LmNoaWNhZ29tYXJvb24uY29tL2FydGljbGUvMjAyMC8xMS8yL3N0cmljdGx5LWR1bXBsaW5nLXRhbGtzLWZvb2QtZml0bmVzcy1pZGVudGl0eS_SAQA?hl=en-US&gl=US&ceid=US%3Aen,2.9,5,3,3,Fitness
